Nº CFM,Nome da Instituição,Sigla,CNPJ,Endereço,Município,Região,Telefone Institucional,E-mail Institucional,Site,Facebook,Instagram,Twitter,Natureza Administrativa do Museu,Documento de Criação,Situação,Funcionamento,Valor ingresso,Gratuidades,Setor Educativo,Acervo Predominante,Museólogo,Acessibilidade,Histórico,Responsável pelo Casdastro,"Data 
Cadastro",Certificado enviado,Lat,Lng
11,Centro Cultural do Movimento Escoteiro,CCME,31.158.231/0001-51,"Rua Primeiro de Março, 112 - Centro",Rio de Janeiro,Metropolitana I,(21) 2283-8024,ccme@ccme.org.br,https://www.ccme.org.br/,ccmeescoteiro,@centroculturalescoteiro,-,Privada,Estatuto Social,Aberto,Segunda a Sábado - Manhã e Tarde,Gratuito,-,Sim,Histórico,Não,"O espaço é cedido pela Marinha, o prédio é antigo e possui 2 andares e não ha muitas opções para realizarmos as obras de acessibilidade. ","""A ideia embrionária do CCME surgiu em 12/06/1983 conforme a ata do Clã Pioneiro do 19ºGE Católico São Pedro de Cascadura, quando os jovens Roberto Luiz Cunha da Silva e Wilson Vianna do Nascimento apresentaram o projeto “ACERVO Cultural do Movimento Escoteiro”. Em 02/10/1983 organizaram uma Assembleia na Associação Cristã de Moços (ACM) com a presença de 11 (onze) pioneiros de diferentes grupos. Em 15/11/1983 ocorreu uma segunda Assembleia, porém com a presença do Comissário Regional o Sr Bryan Cullen Sampaio Vianna, que declarou o apoio da UEB para a iniciativa juvenil. Na mesma ocasião os jovens organizaram 7 (sete) equipes de interesse dividindo os trabalhos. Em 13/03/1984 foi constituída a equipe coordenadora da primeira exposição liderada pelo Chefe Ivo Marcelino Miceli, que seria realizada na Universidade Estadual do Rio de Janeiro (UERJ) porém não ocorreu naquele momento somente efetivando-se em 14/07/1984 nas dependências do Colégio “CCEB-Nosso Lar” no bairro Lins.
Em 08/11/1985, em reunião realizada no Campus da Universidade Estadual do Rio de Janeiro (UERJ), com a presença do Escoteiro-Chefe da UEB Rubem Suffert, houve a apresentação com o nome de “PROJETO Cultural do Movimento Escoteiro” proferida por Roberto Luiz Cunha da Silva (o “cebola”), que era o pioneiro remanescente do projeto do “Acervo”. A primeira sede foi na Região Escoteira do Rio de Janeiro, na Rua Rodrigo Silva 18/7º andar, sendo que as reuniões eram realizadas no escritório do diretor executivo. A primeira Comissão Executiva foi composta em 25/11/1985 por Victor: C. Bouças (presidente), Leonel Karaciki (vice), Frederik William Burrows (financeiro), CMG Carlos Borba (administrativo); Fernando Mibielli de Carvalho (jurídico), Roberto Luiz Cunha da Silva (executivo).""",Marta Santos Caminha - Diretora Cultural,07/12/2022,OK,-22.9036158,-43.1749153
12,Museu do Mel,-,-,Avenida Antônio Mário de Azevedo,Nova Friburgo,Serrana,(22) 2529-4182,museudomel@gmail.com,http://www.amigosdaterra.com.br/museu-do-mel,museu.domel,@apiárioamigosdaterra,@museudomel,Privada,Ata,Aberto,Quarta - Tarde; Quinta a Domingo - Manhã e Tarde,R$ 20 a 30,valores sociais para escolas e instituições públicas e de assistência social,Sim,Ciência e Tecnologia,Não,"Nossa acessibilidade atual é mais no âmbito atitudinal e comunicacional, adequando a abordagem e a linguagem ao grupo atendido. Embora seja um prédio térreo, sem grandes dificuldades de acessibilidade física, existem alguns aparelhos e exposições quase impossíveis de serem apreendidos e fruídos adequadamente por deficientes visuais. Já estamos incluindo em nosso plano de reformas e melhorias, a inclusão de audiodescrição e painéis táteis. ",""" O Museu do Mel foi criado em 2004 com o objetivo de atender à demanda crescente de informações sobre abelhas e mel, por parte dos estudantes, turistas e clientes do Apiário Amigos da Terra.
         Tem como missão institucional educar, capacitar, conscientizar, promover e valorizar a biodiversidade de abelhas e plantas nativas, seus produtos e ecossistemas associados, através da produção de estudos, pesquisas, desenvolvimento de tecnologias alternativas, difusão de informações técnicas e científicas, comprometidos diretamente com a defesa, preservação e conservação do meio ambiente.
          Nossas atividades pedagógicas vão de visitas mediadas à cursos de apicultura, passando por eventos temáticos e outras efemérides convocando a participação da comunidade. 
         Com diferentes abordagens, recebemos grupos escolares diversos - de maternal à universidades, além de grupos familiares e turísticos.""",Bernardo Domingos de Almeida - Educador,07/12/2022,OK,-22.2601291,-42.5355196
13,Instituto Cultural Carlos Scliar,-,05.229.220/0001-05,"Rua Marechal Floriano, 253",Cabo Frio,Baixadas Litorâneas,(22) 2040-9408,institutoscliar@gmail.com,http://www.carlosscliar.com,CasaCarlosScliar,@carlosscliar,-,Privada,Estatuto Social,Aberto,Teça a Sexta - Tarde,R$ 1 a 10,"Professores
Estudantes da rede pública",Sim,Artes Visuais,Sim,"A Casa Museu possui acessibilidade motora nas áreas de exposição temporárias, educativo, sanitários e na sala multimídia.","Um sobrado do século XIX, restaurado por Scliar nos anos 60, conservada com a mesma disposição que Scliar manteve ao longo de mais de quarenta anos. A Casa com características da arquitetura colonial é composta pelo acervo de seu patrono, personalidade que atuou em importantes momentos da história do Brasil do século XX. Este acervo foi armazenado pelo pintor na Casa onde ele viveu e trabalhou por mais de trinta anos. O lugar abriga seus objetos pessoais, material de trabalho, mobiliário e obras de arte, além do acervo documental, com cerca de 15 mil itens, que relatam sua trajetória e suas lutas, junto à diversas personalidades da cultura brasileira, tais como: Rodrigo de Melo Franco, Jorge Amado, Oscar Niemeyer, Zelia Gatai e Darci Ribeiro.  A pinacoteca contém obras do pintor e de outros artistas com quem Scliar manteve intenso diálogo, como Bonadei, Pancetti, Di Cavalcanti, Cildo Meirelles e Djanira. Grande parte deste acervo está em exposição permanente na Casa Museu, aberta no ano de 2004, recebe cerca de dois mil visitantes por ano, atendendo gratuitamente as escolas públicas da região. Nesse ambiente as atividades promovidas aos estudantes abordam temas que tratam sobre a preservação, valorização do patrimônio cultural e questões relacionadas as desigualdades. O trabalho é realizado através das exposições e atividades educativas estruturadas no acervo da instituição. ",Regina Maria Bastos Lamenza - Presidente,07/12/2022,OK,-22.7378309,-42.0240869
14,Instituto Pretos Novos - Museu Memorial Pretos Novos,IPN,08.171.201/0001-63,"Rua Pedro Ernesto, 32/34 - Gamboa",Rio de Janeiro,Metropolitana I,"(21) 97015-3267
(21) 2516-7089",pretosnovos@pretosnovos.com.br,http://www.pretosnovos.com.br,ipn.museumemorial,@institutopretosnovos,@institutopretosnovos,Privada,Estatuto Social,Aberto,Terça a Sábado - Manhã e Tarde,R$ 10 a 20,"Todos - Terça-feira
Estudantes da rede pública",Sim,Arqueologia,Não,"estamos nos esforçando para conseguir acessibilidades em sanitários e outros // O imóvel possui a sua estrutural original e por se tratar de um sítio arqueológico, as obras de acessibilidade deve seguir normas rigorosas de preservação do local. O IPN é uma organização não governamental, sem fins lucrativos, que tem trabalho duramente para manter o espaço aberto. Apesar de necessário, infelizmente não conseguimos recursos para realizar uma obra deste porte. ","""O Instituto Pretos Novos nasce da necessidade de evitar o apagamento da história do Cemitério dos Pretos Novos. A Família Guimarães dos Anjos, que fez a descoberta do sítio arqueológico em 1996, e amigos fundaram a Instituição em 2005. Ao longo dos anos, o Instituto foi desenvolvendo uma tecnologia museológica, servindo de referência para outros locais, com pessoas que não estão na academia, mas que, junto com os acadêmicos, tornam o fazer do Museu Memorial dos Pretos novos algo único.

A visão de vanguarda do IPN o levou, além da simples exposição das ossadas humanas que expões um crime contra a humanidade, a criar programas educativos para tirar da invisibilidade o racismo estrutural no qual foi cunhada a sociedade brasileira. O Circuito Histórico de Herança Africana do Valongo é referência Mundial, assim como as oficinas a céu aberto criadas pelo Instituto. Mesmo sem ter ajuda efetiva para sua manutenção do poder público ou da inciativa privada.

Além disso, o Instituto Pretos Novos tem o programa de pós-graduação, cursos de capacitação para guias de turismo e professores, oficinas gratuitas “Academia Para o Povo” com temas ligados a cultura africana e afro-brasileira. ""Museu Memorial Pretos Novos

O sítio arqueológico Cemitério dos Pretos Novos, que funcionou durante os anos de 1769 a 1830, é a principal prova material e incontestável, encontrada até hoje, sobre a barbárie ocorrida no período mais intenso do tráfico de cativos africanos para o Brasil. Depois da descoberta fortuita feita pela família Guimarães dos Anjos, em 8 de janeiro de 1996, não há mais como admitir uma visão equivocada e romanceada sobre a escravidão de africanos e seus descendentes diretos no Brasil. 

Foram depositados neste cemitério os restos mortais de aproximadamente 60 mil africanos, em sua grande maioria formada por jovens e crianças, brutalmente retirados de sua terra natal e trazidos à força para o trabalho escravo. E igualmente bruta também era a forma como seus corpos foram desmembrados, queimados e espalhados pelo terreno, cobertos apenas com algumas pás de terra. Há indícios de que, após o encerramento das atividades do cemitério e dada a situação de descarte humano que apresentava o local, moradores daquela época que passavam pela Rua do Cemitério, lançavam seu lixo doméstico: restos de comida e fragmentos de louças, cerâmicas e vidros. 

Apesar de ser considerado o maior cemitério de escravos deste gênero nas Américas, o terreno destinado aos sepultamentos era muito pequeno para tantos corpos. Os vestígios arqueológicos e históricos deste campo santo são testemunhos da ação violenta e cruel sofrida pelos africanos que não resistiram aos maus tratos da captura e viagem transatlântica. 

Este relato revelado pela historiografia e trazido à luz pela Arqueologia, repleto de desrespeito e dor, ainda é desconhecido por muitos, pois não é contado em todas as escolas e nem sequer é mencionado nos livros de história que têm a escravidão como tema. Por isto, reafirma-se a importância deste Museu Memorial, no qual o Cemitério dos Pretos Novos se impõe como peça central para este debate.

Marco Antonio Teobaldo
curador
""
""",Ana Maria de La Merced Gonzalez Grana Guimara - Diretora,07/12/2022,OK,-22.8961902,-43.1935285
15,Museu Dom João VI,-,33.663.683/0001-16,"Avenida Pedro Calmon, 550 - Cidade Universitária",Rio de Janeiro,Metropolitana I,(21) 3938-1997,museu@eba.ufrj.br,http://www.museu.eba.ufrj.br,-,-,-,Federal,Ata,"Aberto, funcionando parcialmente",Segunda a Sexta - Manhã e Tarde,Gratuito,-,Sim,Artes Visuais,Sim,,"Criado em 1979 , artístico e histórico, funciona dentro da Escola de Belas Artes da UFRJ.  Seu acervo é composto por obras provenientes da Academia Imperial de Belas Artes. ",Renata da Silva Carvalhaes - Museóloga,07/12/2022,OK,-22.8625865,-43.2237943
16,Museu de Ciência da Terra,MCTER,00.091.652/0024-75,"Avenida Pasteur, 404",Rio de Janeiro,Metropolitana I,(21) 2546-0257,mcter@cprm.gov.br,http://mcter.cprm.gov.br,MuseudeCienciasdaTerra,@cienciasdaterramuseu,-,Federal,Decreto,"Aberto, funcionando parcialmente",Quarta a Sexta - Tarde,Gratuito,-,Sim,Outros,Sim,Todos os aspectos de acessibilidade foram considerados no projeto de restauração e adequação do museu. Atualmente  algumas ações paliativas ( rampas internas ) mas nâo é acessível. Está fechado inclusive para a restauração.,""" Museu de Ciências da Terra é um museu de geologia e paleontologia localizado no número 404 da avenida Pasteur, no bairro da Urca, na cidade do Rio de Janeiro, no estado do Rio de Janeiro, no Brasil. Conta com mais de 100 mil itens expostos, sendo, aproximadamente, 7 mil fragmentos de minerais tanto nacionais quanto estrangeiros e 12 mil meteoritos, rochas, documentações e fósseis.

Já o acervo literário conta com mais de 100 mil títulos relacionados a geociências. Alguns deles podem ser encontrados na Biblioteca Infantil do local. O Museu está sob a coordenação geral da museóloga Célia Maria Corsino e tem como coordenador chefe dos acervos o Dr Diogenes de Almeida Campos.

A gestão administrativa e operacional do Museu de Ciências da Terra é de responsabilidade do Serviço Geológico do Brasil - CPRM, empresa pública federal do Ministério de Minas e Energia.

Apelidado de MCTer ou Palácio da Geologia, o espaço apresenta materiais e estudos realizados desde 1907 no Brasil dos mais diferentes profissionais que já passaram pelo local de Serviço Geológico e Mineralógico (antigo DNPM e atual Companhia de Pesquisa de Recursos Minerais). Constituindo, portanto, uma das coleções geológicas mais vastas na América Latina.

Atualmente, o Museu encontra-se fechado ao público pois passa por um processo de revitalização e expansão, mas realiza exposições itinerantes durante esse processo.""",Celia Maria Corsino - Coordenadora Geral,07/12/2022,OK,-22.9540419,-43.1703976
17,Instituto Moreira Salles,IMS Rio,58.397.563/0004-98,"Rua Marquês de São Vicente, 476 - Gávea",Rio de Janeiro,Metropolitana I,(21) 3284-7400,elizabeth.pessoa@ims.com.br,http://www.ims.com.br,institutomoreirasalles,@imoreirasalles,@imoreirasalles,Privada,Estatuto Social,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Sim,Imagem e Som,Sim,Acessibilidade Universal,"""O IMS é uma instituição  privada, sem fins lucrativos.T em importantes patrimônios em quatro áreas: Fotografia, em mais larga escala, Musica, Literatura e Iconografia. 
Suas atividades são sustentadas por uma dotação, constituída pela família Moreira Salles. Possui três centros culturais: Poços de Caldas, Rio de Janeiro e São Paulo. 
Publica regularmente as revistas Zum, sobre fotografia contemporânea, e a Serrote, de ensaios e idéias, além de diversos catálogos e livros sobre as áreas em que atua.
O IMS abriga também diversos endereços virtuais, como a Radio  Batuta, entre outros. """,Elizabeth Pessoa - Coordenadora,07/12/2022,OK,-22.9816223,-43.2393472
18,Museu Interativo de Física,LADIF,-,"Avenida Athos da Silveiro Ramos , 149 - Cidade Univesitária (Centro de Tecnologia - bloco A sala 418)",Rio de Janeiro,Metropolitana I,(21) 3938-7188,ladif@if.ufrj.br,http://ladif.if.ufrj.br,ladifufrj,@ladifufrj,@LadifUfrj,Federal,Resolução,Aberto,Segunda a Sexta - Manhã e Tarde,Gratuito,-,Sim,Ciência e Tecnologia,Não,o espaço é adequado a candeirantes. a linguagem adequada ao público geral e os monitores treinados para receber o público diverso. nao temos intérprete de libras nem audio guia,"""O LADIF é o Museu Interativo da Física e recebe o público para um circuito de realização de experimentos e observação de fenômenos de todas as áreas da física. Criado em 1988 com o objetivo de colaborar com o letramento científico da população e em especial de estudantes e professores do ensino fundamental e médio, realiza ações junto às escolas e participa de eventos de divulgação científica e extensão universitária. Junto com seus mediadores, técnicos e professores, o LADIF tem criado a cada ano novos experimentos para o acervo, visando oferecer aos visitantes, além dos experimentos tradicionais sobre as áreas básicas da física, também demonstrações sobre as tecnologias que nos cercam nos dias hoje.
O atendimento aos usuários é realizado por monitores, técnicos e professores especialmente treinados a ajudar na observação e entendimento dos experimentos e vídeos do acervo do LADIF.""",Miriam Gandelman - Professora,08/12/2022,OK,-22.9110137,-43.2093727
19,Museu de Arte Sacra de Paraty,MASDP,10.898.596/0029-43,"Largo de Santa Rita, 141 - Centro Histórico",Paraty,Costa Verde,"(61) 3521-4366
(61) 3521-4188",masdp@museus.gov.br,https://museusdeparaty.wordpress.com/museu-de-arte-sacra,Museu-de-Arte-Sacra-de-Paraty,-,-,Federal,-,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Sim,Outros,Sim,O Museu possui rampa de acesso para cadeirantes e imagens táteis com descrição em braile.,"""O Museu de Arte Sacra de Paraty está sediado na Igreja de Santa Rita construída em 1722, bem tombado pelo Instituto do Patrimônio Histórico e Artístico Nacional - IPHAN, em 1962.

O museu reúne um acervo proveniente das irmandades religiosas e das igrejas de Nossa Senhora dos Remédios, Nossa Senhora do Rosário, Nossa Senhora das Dores, além dos Passos da Paixão e capelas da zona rural.

Além da guarda e conservação das coleções, o museu promove a pesquisa e a divulgação do testemunho histórico, cultural e religioso da comunidade paratiense.""",Leonardo Morais da Silva - Analista,08/12/2022,OK,-23.2196461,-44.7154196
20,Museu da Chácara do Céu,-,10.898.596/0023-58,"Rua Murtinho Nobre , 93 - Santa Tereza",Rio de Janeiro,Metropolitana I,(61) 3521-4369,mcm@museus.gov.br,http://www.museuscastromaya.com.br,museudachacaradoceu,@museudachacaradoceu,-,Federal,-,Aberto,Quarta a Segunda - Tarde,R$1 a 10,"Gratuidade Maiores de 80 anos, crianças até 5 anos, grupos de estudantes, acompanhados de professores e agendados previamente, estudantes de Museologia e museólogos, membros do ICOM e da Associação de Amigos dos Museus Castro Maya, guias de turismo acompanhando visitantes, usuários do Programa Vale-Cultura, com até 2 acompanhantes.",Sim,Artes Visuais,Sim,*,"Os Museus Castro Maya – Museu do Açude, no Alto da Boa Vista e o Museu da Chácara do Céu, em Santa Teresa – foram residências de Castro Maya por ele doadas à Fundação que levava seu nome, criada em 1963 e extinta em 1983, quando ambos os museus foram incorporados ao governo brasileiro e hoje integram o IBRAM (Instituto Brasileiro de Museus), do Ministério do Turismo. Os prédios, acervos e parques dos Museus Castro Maya foram tombados pelo IPHAN (Instituto do Patrimônio Histórico e Artístico Nacional) em 1974.",Anna Paola Baptista - Diretora,08/12/2022,OK,-22.9175713,-43.1822780
21,Museu do Açude,-,10.898.596/0023-58,"Estrada do Açude, 764 - Alto da Boa Vista",Rio de Janeiro,Metropolitana I,(61) 3521-4369,mcm@museus.gov.br,http://www.museuscastromaya.com.br,museudoacudeoficial,@museudoacudeoficial,-,Federal,Decreto,Aberto,Quarta a Segunda - Tarde,R$1 a 10,"Gratuidade Maiores de 80 anos, crianças até 5 anos, grupos de estudantes, acompanhados de professores e agendados previamente, estudantes de Museologia e museólogos, membros do ICOM e da Associação de Amigos dos Museus Castro Maya, guias de turismo acompanhando visitantes, usuários do Programa Vale-Cultura, com até 2 acompanhantes.",Sim,Artes Visuais,Sim,*,"Os Museus Castro Maya – Museu do Açude, no Alto da Boa Vista e o Museu da Chácara do Céu, em Santa Teresa – foram residências de Castro Maya por ele doadas à Fundação que levava seu nome, criada em 1963 e extinta em 1983, quando ambos os museus foram incorporados ao governo brasileiro e hoje integram o IBRAM (Instituto Brasileiro de Museus), do Ministério do Turismo. Os prédios, acervos e parques dos Museus Castro Maya foram tombados pelo IPHAN (Instituto do Patrimônio Histórico e Artístico Nacional) em 1974.",Anna Paola Baptista - Diretora,08/12/2022,OK,-22.9639927,-43.2835551
22,Ecomuseu do Quarteirão Cultural do Matadouro de Santa Cruz,ECOMUSEU,42.498.733/0001-48,"Rua 12, 1 - Santa Cruz",Rio de Janeiro,Metropolitana I,(21) 29762548,ecomuseusantacruz@gmail.com,http://www.ecomuseusantacruz.com.br,ecomuseusantacruz,@ecomuseusantacruz,-,Municipal,Lei,Aberto,Terça a Sexta - Manhã e Tarde,Gratuito,-,Sim,Outros,Sim,Atividades variadas,"O Ecomuseu tem como missão a valorização, preservação, pesquisa, documentação e comunicação do patrimônio do bairro de Santa Cruz.  Este museu fomenta a participação comunitária nos processos de musealização e a gestão compartilhada do patrimônio com finalidade de promover o desenvolvimento sustentável dos grupos culturais envolvidos no processo. Traduz o conceito de patrimônio a partir da pluralidade e integralidade das relações humanas com o real, respeitando a não-hierarquização e a diversidade das referências culturais. ",Heloísa Queiroz - Gerente de Museus SMC,08/12/2022,OK,-22.8985135,-43.7260673
23,Museu Forte Defensor Perpétuo,MFDPP,10.898.596/0028-62,"Avenida Orlando Carpinelli, 440 - Pontal",Paraty,Costa Verde,"(61) 3521-4367
(24) 98142-0081",mdfdpp@museus.gov.br,https://www.gov.br/museus/pt-br/museus-ibram/museu-forte-defensor-perpetuo/museu-forte-defensor-perpetuo-pagina-inicial,fortedefensorperpetuo,@fortedefensorperpetuo,-,Federal,-,Aberto,Quarta a Segunda - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,O Museu possuiu rampas de acesso para cadeirantes e banheiro adaptado.,"""O Forte Defensor Perpétuo ocupa um dos mais antigos lugares de memória de Paraty. Atualmente abriga uma instituição museológica que visa a difusão, a pesquisa e o diálogo sobre a história e a memória do município. 

Sua elevação à beira-mar guarda os segredos dos nossos primeiros habitantes pré-históricos no sambaqui da praia e também da primeira ocupação colonial no chamado Morro da Vila Velha. A primeira vila se assentou sob uma capela de São Roque, ainda no início do século XVII, e décadas mais tarde acabou se transferindo para a planície entre os rios Perequê-Açu e Matheus Nunes, ao redor de uma nova igreja dedicada a Nossa Senhora dos Remédios. 

A posição foi guarnecida com soldados e armamentos durante a guerra contra a Província Unida do Rio da Prata (atual Argentina) e em eventuais episódios de tensão como a crise diplomática com a Inglaterra em 1850, mas acabou sendo desarmado pelo Ministério da Guerra em 1856. 

A virada do século viu o Forte se adaptar a outros usos relacionados a uma cidade em franca decadência econômica. Serviu de moradia temporária, de cadeia improvisada e posteriormente até de cenário para o filme “Um Azyllo Muito Louco” de Nelson Pereira dos Santos (1968). 

Em 1957, o Forte foi tombado e restaurado pela Secretaria de Patrimônio Histórico e Artístico Nacional (atual Iphan), tornando-se oficialmente um patrimônio cultural de Paraty e do Brasil; e um centro de memória ligado às nossas culturas tradicionais e à nossa história, especialmente após a criação do Centro de Artes e Tradições Populares nos anos de 1980. 

Em 2009 o museu passou à administração do Instituto Brasileiro de Museus (Ibram), quando da criação da autarquia. Desde então, a unidade tem avançado em sua inserção na comunidade, no trabalho de pesquisa e em ações educativas e culturais, com destaque para o projeto Paraty Ciranda, a exposição de arte e artesanato popular O Modo de Fazer, o encontro de cultura indígena Ymaguaré e as atividades de educação museal em parceria com as escolas públicas das redes estadual e municipal.

O acervo do Forte Defensor Perpétuo é bastante diverso, englobando peças relacionadas ao forte e seus usos militares, artefatos oriundos da cultura tradicional e das artes populares das comunidades paratienses e objetos relacionados a outros contextos históricos de Paraty.  """,Leonardo Morais da Silva - Analista,08/12/2022,OK,-23.2151344,-44.7119762
